category,product,price,rating,rating_score,answered_questions,favorite,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,image_name
laptop,"Huawei Matebook D15 Intel Core I7 1195g7 16gb 512gb Ssd Windows 11 Home 15.6"" Fhd BoDE-WFE9AL",22.399 TL,62,4.8,270,6414 Favori,İşlemci Tipi | Intel Core i7,Ram (Sistem Belleği) | 16 GB,SSD Kapasitesi | 512 GB,İşletim Sistemi | Windows,Ekran Kartı | Intel Iris Graphics,"Ekran Boyutu | 15,6 inç",Çözünürlük | 1920 x 1080,Kullanım Amacı | Ofis - İş,laptop_image_0.png
laptop,"ACER Aspire 3 A315-35 Intel Celeron4500 1,10ghz Paylaşimli Uhd Graphics 4gb Ram 128ssd 15,6'' Fhd Ek 125035470",7.139 TL,34,4.7,186,3830 Favori,İşlemci Tipi | Intel Celeron,Ram (Sistem Belleği) | 4 GB,SSD Kapasitesi | 128 GB,İşletim Sistemi | Windows,Ekran Kartı | Intel UHD Graphics,"Ekran Boyutu | 15,6 inç",Çözünürlük | 1920 x 1080,Kullanım Amacı | Ev - Okul,laptop_image_13.png
laptop,"LENOVO Ideapad 1 Intel Celeron N4120 4gb 128gb Ssd Freedos 15.6"" Hd - 82v7006ntx 82V7006NTX",6.329 TL,3,5.0,53,1885 Favori,İşlemci Tipi | Intel Celeron,Ram (Sistem Belleği) | 4 GB,İşletim Sistemi | Free Dos,Ekran Kartı | Dahili Ekran Kartı,SSD Kapasitesi | SSD Yok,"Ekran Boyutu | 15,6 inç",Çözünürlük | 1366 x 768,Kullanım Amacı | Ev - Okul,laptop_image_14.png
laptop,"LENOVO Thinkbook 16p 21ek0028tx01 Ryzen5 6600h 16gb 1tbssd Rtx3060 16"" Qhd+ Freedos Taşınabilir Bilg T20712A",38.848 TL,,,3,,İşlemci Tipi | AMD Ryzen 5,Ram (Sistem Belleği) | 16 GB,SSD Kapasitesi | 1 TB,İşletim Sistemi | Free Dos,Ekran Kartı | Nvidia GeForce RTX3060,Çözünürlük | 2560 x 1600,Garanti Tipi | Resmi Distribütör Garantili,Ekran Boyutu | 16 inç,laptop_image_15.png
laptop,"ASUS Tuf Gamıng F15 Fx506hc-hn375 Intel I5-11400h 8gb Ddr4 512gb Ssd 4gb Rtx3050 15.6"" Fhd 144hz Dos ASUS TUF GAMING F15 FX506HC-HN375",29.899 TL,102,4.5,322,5626 Favori,İşlemci Tipi | Intel Core i5,Ram (Sistem Belleği) | 8 GB,SSD Kapasitesi | 512 GB,İşletim Sistemi | Free Dos,Çözünürlük | 1920 x 1080,Ekran Yenileme Hızı | 144 Hz,Ekran Kartı | Nvidia GeForce RTX 3050,"Ekran Boyutu | 15,6 inç",laptop_image_16.png
laptop,ASUS ZenBook 14 UX3402ZA-KP632W i5-1240P 8GB 512GB SSD 14 WQXGA Windows 11,23.590 TL,,,20,369 Favori,İşlemci Tipi | Intel Core i5,Ram (Sistem Belleği) | 8 GB,SSD Kapasitesi | 512 GB,İşletim Sistemi | Windows,Ekran Kartı | Dahili Ekran Kartı,Garanti Tipi | Resmi Distribütör Garantili,Ekran Boyutu | 14 inç,Çözünürlük | 2560 x 1600,laptop_image_17.png
laptop,"ACER Aspire 3 A315-58 Intel Core I5-1135g7 8gb 512gb Ssd Freedos 15,6"" Fhd Cnxaddey006 CNXADDEY006","11.384,01 TL",2,2.5,9,137 Favori,İşlemci Tipi | Intel Core i5,Ram (Sistem Belleği) | 8 GB,SSD Kapasitesi | 512 GB,İşletim Sistemi | Free Dos,Ekran Kartı | Intel Iris Graphics,Garanti Tipi | Resmi Distribütör Garantili,"Ekran Boyutu | 15,6 inç",Çözünürlük | 1920 x 1080,laptop_image_18.png
laptop,"Dell Vostro 3400 N4001vn3400u09 I3-1115g4 16gb 1tb+256ssd 14"" Hd Freedos Taşınabilir Bilgisayar T19555I",12.099 TL,,,,,İşlemci Tipi | Intel Core i3,Ram (Sistem Belleği) | 16 GB,SSD Kapasitesi | 256 GB,İşletim Sistemi | Free Dos,Ekran Kartı | Intel UHD Graphics,Hard Disk Kapasitesi | 1 TB,Garanti Tipi | Resmi Distribütör Garantili,Ekran Boyutu | 14 inç,laptop_image_19.png
laptop,Casper Excalibur G770.1245-DFJ0X-B Intel Core i5-12450H 32GB RAM 1TB NVME SSD GEN4 4GB RTX3050 Freedos,27.599 TL,205,4.5,459,9265 Favori,İşlemci Tipi | Intel Core i5,Ram (Sistem Belleği) | 32 GB,SSD Kapasitesi | 1 TB,İşletim Sistemi | Free Dos,Çözünürlük | 1920 x 1080,Ekran Yenileme Hızı | 144 Hz,Ekran Kartı | Nvidia GeForce RTX 3050,"Ekran Boyutu | 15,6 inç",laptop_image_20.png
laptop,"ACER Aspire 3 A315-24p Ryzen 5 7520u 8gb 256 Gb Win 11 15.6"" Nx.kdeey.003 Notebook NX.KDEEY.003",10.999 TL,31,4.5,80,1836 Favori,İşlemci Tipi | AMD Ryzen 5,Ram (Sistem Belleği) | 8 GB,SSD Kapasitesi | 256 GB,İşletim Sistemi | Windows,Ekran Kartı | AMD Radeon Graphics,"Ekran Boyutu | 15,6 inç",Çözünürlük | 1920 x 1080,Kullanım Amacı | Ofis - İş,laptop_image_21.png
laptop,"ASUS Rog Strıx G16 G614jv-n3158 Intel I7-13650hx 16gb Ddr5 512gb Pcıe Ssd 8gb Rtx4060 16"" 165hz Dos ASUS ROG STRIX G16 G614JV",45.099 TL,12,5.0,64,439 Favori,İşlemci Tipi | Intel Core i7,Ram (Sistem Belleği) | 16 GB,SSD Kapasitesi | 512 GB,İşletim Sistemi | Free Dos,Çözünürlük | 1920 x 1200,Ekran Yenileme Hızı | 165 Hz,Ekran Kartı | Nvidia GeForce RTX 4060,Ekran Boyutu | 16 inç,laptop_image_22.png
laptop,"LENOVO Thinkbook 16p 21ek0028tx03 Ryzen5 6600h 16gb 512ssd Rtx3060 16"" Qhd+ W11p Taşınabilir Bilgisa T20712C",42.024 TL,,,1,,İşlemci Tipi | AMD Ryzen 5,Ram (Sistem Belleği) | 16 GB,SSD Kapasitesi | 512 GB,İşletim Sistemi | Windows,Ekran Kartı | Nvidia GeForce RTX3060,Çözünürlük | 2560 x 1600,Garanti Tipi | Resmi Distribütör Garantili,Ekran Boyutu | 16 inç,laptop_image_23.png
laptop,"LENOVO Ideapad1 AMD Ryzen 3-7320U 8GB 256GB SSD DOS 15.6"" Cloud Grey Laptop (Lenovo Türkiye Garantili) 82VG008ATX","9.489,98 TL",14,4.4,46,4038 Favori,İşlemci Tipi | AMD Ryzen 3,Ram (Sistem Belleği) | 8 GB,SSD Kapasitesi | 256 GB,İşletim Sistemi | Free Dos,Ekran Kartı | AMD Radeon Graphics,"Ekran Boyutu | 15,6 inç",Çözünürlük | 1920 x 1080,Kullanım Amacı | Ev - Okul,laptop_image_24.png
laptop,"LENOVO IdeaPad Slim 3 Intel Core i5 12450H 8GB 512GB SSD Freedos 15.6"" IPS 83ER000UTR",14.999 TL,,,4,50 Favori,İşlemci Tipi | Intel Core i5,Ram (Sistem Belleği) | 8 GB,SSD Kapasitesi | 512 GB,İşletim Sistemi | Free Dos,Ekran Kartı | Intel UHD Graphics,"Ekran Boyutu | 15,6 inç",Çözünürlük | 1920 x 1080,Kullanım Amacı | Ofis - İş,laptop_image_25.png
laptop,"HP Victus Gaming Laptop 15-fb0025nt R5 5600h 16 Gb 512 Gb Ssd Rx6500m Dos 15.6"" Fhd 144hz 7n9g7ea 7N9G7EA",21.999 TL,16,4.7,110,2068 Favori,İşlemci Tipi | AMD Ryzen 5,Ram (Sistem Belleği) | 16 GB,SSD Kapasitesi | 512 GB,İşletim Sistemi | Free Dos,Çözünürlük | 1920 x 1080,Ekran Yenileme Hızı | 144 Hz,Ekran Kartı | AMD Radeon RX6500M,"Ekran Boyutu | 15,6 inç",laptop_image_26.png
laptop,"Hometech Alfa 430C Black Intel Celeron 128GB SSD 14.1"" Windows 10 Home Taşınabilir Bilgisayar 8692751061298",5.299 TL,5,4.4,90,1790 Favori,İşlemci Tipi | Intel Celeron,Ram (Sistem Belleği) | 4 GB,SSD Kapasitesi | 128 GB,İşletim Sistemi | Windows,Ekran Kartı | Intel UHD Graphics 600,Hard Disk Kapasitesi | 128 GB,Garanti Tipi | Resmi Distribütör Garantili,Ekran Boyutu | 14 inç,laptop_image_27.png
laptop,"HP Victus 7p8l0ea I5-13500h 8gb 512gb Ssd Rtx3050 6gd6 15.6"" Fhd Ips 144hz Freedos Dizüstü 7P8L0EA",26.599 TL,,,3,,İşlemci Tipi | Intel Core i5,Ram (Sistem Belleği) | 8 GB,SSD Kapasitesi | 512 GB,İşletim Sistemi | Free Dos,Çözünürlük | 1920 x 1080,Ekran Yenileme Hızı | 144 Hz,Garanti Tipi | Resmi Distribütör Garantili,Ekran Kartı | Nvidia GeForce RTX 3050,laptop_image_28.png
laptop,"Hometech Alfa 640c Intel Celeron N4020c 8 Gb 256 Gb Ssd Freedos 14.1"" Hd Taşınabilir Bilgisayar ALFA 640C",6.299 TL,74,4.4,400,6432 Favori,İşlemci Tipi | Intel Celeron,Ram (Sistem Belleği) | 8 GB,SSD Kapasitesi | 256 GB,İşletim Sistemi | Free Dos,Ekran Kartı | Intel UHD Graphics 600,Garanti Tipi | Resmi Distribütör Garantili,"Ekran Boyutu | 14,1 inç",Çözünürlük | 1366 x 768,laptop_image_29.png
laptop,"ASUS 16"" Zenbook Pro 16X OLED İ9 1TB Multi-Touch Laptop RTX4070 UX7602VI-DS96T",249.999 TL,,,4,91 Favori,İşlemci Tipi | Intel Core i9,Ram (Sistem Belleği) | 32 GB,SSD Kapasitesi | 1 TB,İşletim Sistemi | Windows,Ekran Kartı | Nvidia GeForce RTX 4070,Ekran Boyutu | 16 inç,Çözünürlük | 3200 x 2000,Kullanım Amacı | Tasarım,laptop_image_30.png
laptop,MSI Katana 17 B12vek-083xtr I7-12650h 16gb Ddr5 1tb Ssd 6gb Rtx4050 17.3'' Fhd 144hz Freedos Gaming KATANA 17 B12VEK-083XTR,42.699 TL,9,5.0,39,785 Favori,İşlemci Tipi | Intel Core i7,Ram (Sistem Belleği) | 16 GB,SSD Kapasitesi | 1 TB,İşletim Sistemi | Free Dos,Çözünürlük | 1920 x 1080,Ekran Yenileme Hızı | 144 Hz,Ekran Kartı | Nvidia GeForce RTX 4050,"Ekran Boyutu | 17,3 inç",laptop_image_31.png
laptop,ASUS Tuf Gaming F15 Fx506hc I5 11400h 32gb 1tb Ssd Rtx3050/4gb 144hz W11p 15.6'' Fhd Hn373 HN37334,30.030 TL,6,5.0,36,384 Favori,İşlemci Tipi | Intel Core i5,Ram (Sistem Belleği) | 32 GB,SSD Kapasitesi | 1 TB,İşletim Sistemi | Windows,Çözünürlük | 1920 x 1080,Ekran Yenileme Hızı | 144 Hz,Ekran Kartı | Nvidia GeForce RTX 3050,"Ekran Boyutu | 15,6 inç",laptop_image_32.png
laptop,ASUS X415ma-ek741w Intel Celeron 4 GB 128 GB SSD Windows Notebook 14 Inc 20000039398308,7.263 TL,21,4.0,40,3939 Favori,İşlemci Tipi | Intel Celeron,Ram (Sistem Belleği) | 4 GB,SSD Kapasitesi | 128 GB,İşletim Sistemi | Windows,Ekran Kartı | Intel UHD Graphics,Ekran Boyutu | 14 inç,Çözünürlük | 1920 x 1080,Kullanım Amacı | Ofis - İş,laptop_image_33.png
laptop,Casper Excalibur G870.1245-DFA0X-B Intel Core i5-12450H 32GB RAM 1TB NVME SSD GEN4 6GB RTX4050 Freedos,29.999 TL,71,4.7,146,5449 Favori,İşlemci Tipi | Intel Core i5,Ram (Sistem Belleği) | 32 GB,SSD Kapasitesi | 1 TB,İşletim Sistemi | Free Dos,Çözünürlük | 1920 x 1080,Ekran Yenileme Hızı | 144 Hz,Ekran Kartı | Nvidia GeForce RTX 4050,"Ekran Boyutu | 15,6 inç",laptop_image_34.png
laptop,"ASUS Tuf Gamıng F15 Fx506hf-hn030 Intel I5-11400h 8gb Ddr4 512gb Ssd 4gb Rtx2050 15.6"" Fhd 144hz Dos FX506HF-HN030",21.999 TL,24,4.9,120,2075 Favori,İşlemci Tipi | Intel Core i5,Ram (Sistem Belleği) | 8 GB,SSD Kapasitesi | 512 GB,İşletim Sistemi | Free Dos,Çözünürlük | 1920 x 1080,Ekran Yenileme Hızı | 144 Hz,Ekran Kartı | Nvidia GeForce RTX 2050,"Ekran Boyutu | 15,6 inç",laptop_image_35.png
laptop,"LENOVO Ideapad 3 Intel Core I3-1115g4 8gb 256gb Ssd Freedos 14"" 82h701kytx 82H701KYTX",9.499 TL,18,4.6,206,4934 Favori,İşlemci Tipi | Intel Core i3,Ram (Sistem Belleği) | 8 GB,SSD Kapasitesi | 256 GB,İşletim Sistemi | Free Dos,Hard Disk Kapasitesi | 256 GB,Ekran Kartı | Belirtilmemiş,Ekran Boyutu | 14 inç,Çözünürlük | 1920 x 1200,laptop_image_36.png
laptop,"Apple MacBook Pro M2 Max 38C GPU 64 GB 2 TB SSD 16"" Gümüş Z178M2MP0642-TQ6",149.999 TL,,,7,275 Favori,Ram (Sistem Belleği) | 64 GB,SSD Kapasitesi | 2 TB,İşletim Sistemi | Mac Os,İşlemci Tipi | Apple M2 Max,Ekran Kartı | M2 Max 38 Çekirdekli,"Ekran Boyutu | 16,2 inç",Çözünürlük | 3456 x 2234,Kullanım Amacı | Ofis - İş,laptop_image_37.png
laptop,Casper Nirvana C370.4020-8C00X Intel Celeron N4020 8GB RAM 120GB SSD Freedos,8.500 TL,2,3.0,4,957 Favori,İşlemci Tipi | Intel Celeron,Ram (Sistem Belleği) | 8 GB,SSD Kapasitesi | 120 GB,İşletim Sistemi | Free Dos,Ekran Kartı | Intel HD Graphics,"Ekran Boyutu | 15,6 inç",Çözünürlük | 1280 x 800,Kullanım Amacı | Ev - Okul,laptop_image_38.png
laptop,"MSI GF63 THIN 11UCX-1623XTR Intel Core i5 11400H 8GB 512GB SSD RTX2050 Freedos 15.6"" FHD 144Hz MSI GF63 THIN 11UCX-1623XTR","22.199,80 TL",1,5.0,15,273 Favori,İşlemci Tipi | Intel Core i5,Ram (Sistem Belleği) | 8 GB,SSD Kapasitesi | 512 GB,İşletim Sistemi | Free Dos,Çözünürlük | 1920 x 1080,Ekran Yenileme Hızı | 144 Hz,Ekran Kartı | Nvidia GeForce RTX 2050,"Ekran Boyutu | 15,6 inç",laptop_image_39.png
laptop,"LENOVO V15 G3 Iap 82tt0055tx I7-1255u 16gb 512gb Pcıe 4.0 Ssd 15,6"" Full Hd Freedos Notebook UNUN0LNV0154",17.999 TL,3,5.0,36,531 Favori,İşlemci Tipi | Intel Core i7,Ram (Sistem Belleği) | 16 GB,SSD Kapasitesi | 512 GB,İşletim Sistemi | Free Dos,Ekran Kartı | Intel Iris Graphics,"Ekran Boyutu | 15,6 inç",Çözünürlük | 1920 x 1080,Kullanım Amacı | Ofis - İş,laptop_image_40.png
laptop,ASUS Tuf Gaming F15 FX506HC-HN442 Intel Core i5 11400H 16 GB 512 GB SSD RTX 3050 144 Hz Freedos 15.6,25.999 TL,4,5.0,28,478 Favori,İşlemci Tipi | Intel Core i5,Ram (Sistem Belleği) | 16 GB,SSD Kapasitesi | 512 GB,İşletim Sistemi | Free Dos,Çözünürlük | 1920 x 1080,Ekran Yenileme Hızı | 144 Hz,Ekran Kartı | Nvidia GeForce RTX 3050,"Ekran Boyutu | 15,6 inç",laptop_image_41.png
laptop,"LENOVO IP/Celeron İşlemci/4 GB RAM/128 GB SSD/15.6""/Win/Laptop Gri 82V700A9TX 1230428",7.499 TL,7,5.0,61,1420 Favori,İşlemci Tipi | Intel Celeron,Ram (Sistem Belleği) | 4 GB,SSD Kapasitesi | 128 GB,İşletim Sistemi | Windows,Ekran Kartı | Dahili Ekran Kartı,Garanti Tipi | Resmi Distribütör Garantili,"Ekran Boyutu | 15,6 inç",Çözünürlük | 1920 x 1080,laptop_image_42.png
laptop,"ASUS ExpertBook i3-1215U 8GB 512GB SSD Freedos 15.6"" FHD Dizüstü Bilgisayar B1502CBA-EJ0253003","13.190,90 TL",,,3,,İşlemci Tipi | Intel Core i3,Ram (Sistem Belleği) | 8 GB,SSD Kapasitesi | 512 GB,İşletim Sistemi | Free Dos,Ekran Kartı | Dahili Ekran Kartı,Garanti Tipi | Resmi Distribütör Garantili,"Ekran Boyutu | 15,6 inç",Çözünürlük | 1920 x 1080,laptop_image_43.png
laptop,"LENOVO IdeaPad Gaming 3 15IAH7 i5-12450H 16GB 512GB SSD 4GB RTX 3050 Ti 15.6"" FHD Fdos 82S9013VTX 197529027950",25.999 TL,3,4.7,12,400 Favori,İşlemci Tipi | Intel Core i5,Ram (Sistem Belleği) | 16 GB,SSD Kapasitesi | 512 GB,İşletim Sistemi | Free Dos,Çözünürlük | 1920 x 1080,Ekran Yenileme Hızı | 120 Hz,Ekran Kartı | Nvidia GeForce RTX 3050 Ti,"Ekran Boyutu | 15,6 inç",laptop_image_44.png
laptop,HP Victus 7P640EA 16-R0030NT i7-13700H 16GB 1TB RTX4050 6GB 16.1inç 144 Hz FHD Freedos Gaming Laptop,35.299 TL,,5.0,16,432 Favori,İşlemci Tipi | Intel Core i7,Ram (Sistem Belleği) | 16 GB,SSD Kapasitesi | 1 TB,İşletim Sistemi | Free Dos,Çözünürlük | 1920 x 1080,Ekran Yenileme Hızı | 144 Hz,Garanti Tipi | Resmi Distribütör Garantili,Ekran Kartı | Nvidia GeForce RTX 4050,laptop_image_45.png
laptop,"ASUS Vivobook 15 i5-1235U 24GB 1TB SSD 15,6"" FreeDos Taşınabilir Bilgisayar X1502ZA-EJ1067TR11",17.699 TL,5,4.6,30,899 Favori,İşlemci Tipi | Intel Core i5,Ram (Sistem Belleği) | 24 GB,SSD Kapasitesi | 1 TB,İşletim Sistemi | Free Dos,Ekran Kartı | Intel UHD Graphics,"Ekran Boyutu | 15,6 inç",Çözünürlük | 1920 x 1080,Kullanım Amacı | Ev - Okul,laptop_image_46.png
laptop,MSI THIN GF63 12UCX-427XTR I5-12450H 8GB DDR4 RTX2050 GDDR6 4GB 512GB SSD 15.6 FHD 144Hz DOS,25.999 TL,7,4.8,39,968 Favori,İşlemci Tipi | Intel Core i5,Ram (Sistem Belleği) | 8 GB,SSD Kapasitesi | 512 GB,İşletim Sistemi | Free Dos,Çözünürlük | 1920 x 1080,Ekran Yenileme Hızı | 144 Hz,Ekran Kartı | Nvidia GeForce RTX 2050,"Ekran Boyutu | 15,6 inç",laptop_image_47.png
laptop,"ASUS Vivobook Go 15 Ryzen 5-7520U 8 GB 512 GB SSD 15.6"" Freedos - E1504FA-NJ287",11.299 TL,5,5.0,32,617 Favori,İşlemci Tipi | AMD Ryzen 5,Ram (Sistem Belleği) | 8 GB,SSD Kapasitesi | 512 GB,İşletim Sistemi | Free Dos,Ekran Kartı | AMD Radeon Graphics,Garanti Tipi | Resmi Distribütör Garantili,"Ekran Boyutu | 15,6 inç",Çözünürlük | 1920 x 1080,laptop_image_48.png
laptop,"MSI GF63 THIN 11UCX-1601XTR Intel Core i5 11260H 8GB 512 GB SSD RTX2050 Freedos 15.6"" FHD 144Hz Taşı",22.999 TL,7,4.7,35,778 Favori,İşlemci Tipi | Intel Core i5,Ram (Sistem Belleği) | 8 GB,SSD Kapasitesi | 512 GB,İşletim Sistemi | Free Dos,Ekran Kartı | Nvidia GeForce RTX 2060,Çözünürlük | 1920 x 1080,Ekran Yenileme Hızı | 144 Hz,"Ekran Boyutu | 15,6 inç",laptop_image_49.png
laptop,"LENOVO IdeaPad5 14ABA7 AMD Ryzen3 5425U 8GB 512GB SSD 14"" FHD Fdos Taşınabilir Bilgisayar 82SE00CBTR 197529991893",9.499 TL,,,11,617 Favori,İşlemci Tipi | AMD Ryzen 3,Ram (Sistem Belleği) | 8 GB,SSD Kapasitesi | 512 GB,İşletim Sistemi | Free Dos,Ekran Kartı | AMD Radeon Graphics,Ekran Boyutu | 14 inç,Çözünürlük | 1920 x 1080,Kullanım Amacı | Ofis - İş,laptop_image_50.png
laptop,"HP 15-fc0003nt Amd Ryzen 3 7320u 8 Gb 256 Gb Ssd Freedos 15.6"" Fhd Taşınabilir Bilgisayar 7p6e7ea 7P6E7EA",9.499 TL,,,,,İşlemci Tipi | AMD Ryzen 3,Ram (Sistem Belleği) | 8 GB,SSD Kapasitesi | 256 GB,İşletim Sistemi | Free Dos,Ekran Kartı | AMD Radeon Graphics,"Ekran Boyutu | 15,6 inç",Çözünürlük | 1920 x 1080,Kullanım Amacı | Ev - Okul,laptop_image_51.png
